A,B,C,D,E,F,G,H,I
60,60,185,70,1.7706,-7.3071,41.484,-37.242,81.602
61,61,185,70,1.7706,-5.895,44.984,-35.86,0
62,62,185,70,1.7706,-4.4125,48.149,-34.045,0
63,63,185,70,1.7706,-2.7737,50.911,-31.956,0
64,64,185,70,1.7706,-0.92887,53.24,-29.798,0
65,65,185,70,1.7706,1.1075,55.104,-27.748,0
66,66,185,70,1.7706,3.2129,56.556,-25.814,0
67,67,185,70,1.7706,5.2781,57.603,-23.924,0
68,68,185,70,1.7706,7.2427,58.252,-22.046,0
69,69,185,70,1.7706,9.1116,58.504,-20.288,0
70,70,185,70,1.7706,10.94,58.455,-18.841,0
71,71,185,70,1.7706,12.752,58.172,-17.858,0
72,72,185,70,1.7706,14.536,57.705,-17.359,0
73,73,185,70,1.7706,16.233,57.034,-17.206,0
74,74,185,70,1.7706,17.791,56.113,-17.132,0
75,75,185,70,1.7706,19.192,54.892,-16.995,0
76,76,185,70,1.7706,20.481,53.398,-16.761,0
77,77,185,70,1.7706,21.762,51.741,-16.458,0
78,78,185,70,1.7706,23.08,50.052,-16.11,0
79,79,185,70,1.7706,24.23,48.24,-15.68,0
80,80,185,70,1.7706,25.099,46.245,-15.088,0
81,81,185,70,1.7706,25.996,44.173,-14.344,0
82,82,185,70,1.7706,27.072,42.033,-13.548,0
83,83,185,70,1.7706,27.958,39.604,-12.75,0
84,84,185,70,1.7706,28.577,36.891,-12.042,0
85,85,185,70,1.7706,28.953,33.909,-11.635,0
86,86,185,70,1.7706,29.127,30.68,-11.672,0
87,87,185,70,1.7706,29.095,27.175,-12.195,0
88,88,185,70,1.7706,28.845,23.364,-13.114,0
89,89,185,70,1.7706,28.359,19.257,-14.233,0
90,90,185,70,1.7706,27.686,15.031,-15.324,0
91,91,185,70,1.7706,26.888,10.926,-16.28,0
92,92,185,70,1.7706,26.047,7.2212,-17.1,0
93,93,185,70,1.7706,25.269,4.2087,-17.837,0
94,94,185,70,1.7706,24.62,1.9197,-18.51,0
95,95,185,70,1.7706,24.135,0.31742,-19.063,0
96,96,185,70,1.7706,23.835,-0.6231,-19.41,0
97,97,185,70,1.7706,23.771,-0.73868,-19.438,0
98,98,185,70,1.7706,23.953,0.055872,-19.147,0
99,99,185,70,1.7706,24.345,1.7254,-18.662,0
100,100,185,70,1.7706,24.836,3.9482,-18.282,0
0,0,185,70,1.2299,26.379,8.5031,-17.831,-11.236
1,1,185,70,1.2299,25.767,9.5321,-17.412,125.96
2,2,185,70,1.2299,24.824,9.3815,-17.939,255.17
3,3,185,70,1.2299,23.698,8.3705,-19.36,362.84
4,4,185,70,1.2299,22.583,7.2189,-21.341,444.2
5,5,185,70,1.2299,21.61,6.5229,-23.302,502.4
6,6,185,70,1.2299,20.799,6.4375,-24.572,544.74
7,7,185,70,1.2299,20.087,6.7284,-24.754,578.35
8,8,185,70,1.2299,19.365,7.0392,-24.063,607.28
9,9,185,70,1.2299,18.55,7.1872,-22.946,632.1
10,10,185,70,1.2299,17.604,7.158,-21.764,651.24
11,11,185,70,1.2299,16.527,6.9493,-20.707,662.9
12,12,185,70,1.2299,15.346,6.5146,-19.905,666.33
13,13,185,70,1.2299,14.138,5.8443,-19.478,662.38
14,14,185,70,1.2299,13.014,5.0636,-19.392,653.3
15,15,185,70,1.2299,12.069,4.3948,-19.401,642.06
16,16,185,70,1.2299,11.328,4.0323,-19.15,631.56
17,17,185,70,1.2299,10.744,4.007,-18.452,623.94
18,18,185,70,1.2299,10.224,4.1679,-17.45,620.27
19,19,185,70,1.2299,9.6745,4.2982,-16.488,620.48
20,20,185,70,1.2299,9.0486,4.2996,-15.799,623.48
21,21,185,70,1.2299,8.3502,4.2272,-15.37,627.57
22,22,185,70,1.2299,7.6109,4.1853,-15.033,630.83
23,23,185,70,1.2299,6.8572,4.221,-14.615,631.71
24,24,185,70,1.2299,6.0885,4.3126,-14.034,629.45
25,25,185,70,1.2299,5.2896,4.427,-13.314,624.26
26,26,185,70,1.2299,4.4711,4.565,-12.542,617.18
27,27,185,70,1.2299,3.6708,4.7346,-11.796,609.66
28,28,185,70,1.2299,2.9104,4.9076,-11.112,603.06
29,29,185,70,1.2299,2.1751,5.0339,-10.522,598.29
30,30,185,70,1.2299,1.4368,5.0969,-10.089,595.73
31,31,185,70,1.2299,0.68946,5.1453,-9.8126,595.33
32,32,185,70,1.2299,-0.033809,5.2572,-9.5666,596.85
33,33,185,70,1.2299,-0.68121,5.4749,-9.2159,600.14
34,34,185,70,1.2299,-1.2445,5.7466,-8.7486,605.22
35,35,185,70,1.2299,-1.8049,5.9388,-8.2664,612.35
36,36,185,70,1.2299,-2.4777,5.9494,-7.8771,621.85
37,37,185,70,1.2299,-3.2869,5.8347,-7.614,633.94
38,38,185,70,1.2299,-4.1652,5.73,-7.461,648.58
39,39,185,70,1.2299,-5.0516,5.7066,-7.3998,665.33
40,40,185,70,1.2299,-5.947,5.7397,-7.424,683.31
41,41,185,70,1.2299,-6.895,5.7857,-7.5354,701.35
42,42,185,70,1.2299,-7.9145,5.8807,-7.7497,718.16
43,43,185,70,1.2299,-8.9448,6.1471,-8.0833,732.51
44,44,185,70,1.2299,-9.891,6.676,-8.5337,743.4
45,45,185,70,1.2299,-10.681,7.4412,-9.0806,750.09
46,46,185,70,1.2299,-11.284,8.3578,-9.7224,751.97
47,47,185,70,1.2299,-11.705,9.3938,-10.468,748.39
48,48,185,70,1.2299,-11.982,10.594,-11.278,738.38
49,49,185,70,1.2299,-12.17,11.978,-12.092,720.43
50,50,185,70,1.2299,-12.291,13.489,-12.966,692.55
51,51,185,70,1.2299,-12.338,15.051,-14.096,652.57
52,52,185,70,1.2299,-12.281,16.665,-15.64,598.85
53,53,185,70,1.2299,-12.08,18.433,-17.573,531.18
54,54,185,70,1.2299,-11.687,20.474,-19.779,451.62
55,55,185,70,1.2299,-11.078,22.785,-22.235,364.9
56,56,185,70,1.2299,-10.235,25.314,-25.038,277.99
57,57,185,70,1.2299,-9.1322,28.066,-28.156,198.85
58,58,185,70,1.2299,-7.7502,31.113,-31.248,134.47
59,59,185,70,1.2299,-6.1079,34.506,-33.785,88.856
60,60,185,70,1.2299,-4.2695,38.191,-35.439,61.872
61,61,185,70,1.2299,-2.322,41.981,-36.345,0
62,62,185,70,1.2299,-0.32852,45.685,-36.612,0
63,63,185,70,1.2299,1.6676,49.166,-36.013,0
64,64,185,70,1.2299,3.6431,52.326,-34.339,0
65,65,185,70,1.2299,5.6014,55.057,-31.907,0
66,66,185,70,1.2299,7.548,57.272,-29.408,0
67,67,185,70,1.2299,9.4561,59.014,-27.255,0
68,68,185,70,1.2299,11.33,60.424,-25.413,0
69,69,185,70,1.2299,13.302,61.666,-23.712,0
70,70,185,70,1.2299,15.501,62.779,-22.13,0
71,71,185,70,1.2299,17.478,63.432,-20.798,0
72,72,185,70,1.2299,18.399,63.146,-19.826,0
73,73,185,70,1.2299,19.267,62.528,-19.219,0
74,74,185,70,1.2299,20.785,62.025,-18.873,0
75,75,185,70,1.2299,22.297,61.324,-18.591,0
76,76,185,70,1.2299,23.664,60.36,-18.223,0
77,77,185,70,1.2299,24.899,59.117,-17.725,0
78,78,185,70,1.2299,26.037,57.577,-17.105,0
79,79,185,70,1.2299,27.105,55.74,-16.34,0
80,80,185,70,1.2299,28.1,53.62,-15.436,0
81,81,185,70,1.2299,28.982,51.218,-14.555,0
82,82,185,70,1.2299,29.696,48.491,-13.957,0
83,83,185,70,1.2299,30.205,45.378,-13.783,0
